id,symbol,name,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
0chain,zcn,Zus,4600333.0,1176.0,400000000.0,,48400982.0,https://assets.coingecko.com/coins/images/4934/large/200x200_transparent.png?1669366739,2021-11-10T12:21:06.184Z,2021-12-14T21:31:35.868Z
0x,zrx,0x Protocol,150704941.0,182.0,1000000000.0,1000000000.0,847496054.8122635,https://assets.coingecko.com/coins/images/863/large/0x.png?1547034672,2018-07-28T14:41:06.104Z,2020-03-13T02:27:49.563Z
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,41777892.0,412.0,891250000.0,1000000000.0,891250000.0,https://assets.coingecko.com/coins/images/28880/large/0x0.png?1675140105,2023-05-21T09:08:13.239Z,2023-02-01T14:29:44.928Z
1art,1art,OneArt,1324007.0,1768.0,,1000000000.0,169517136.76299,https://assets.coingecko.com/coins/images/19307/large/token_light_3x.png?1642936901,2021-10-26T17:34:18.425Z,2023-05-26T06:50:06.369Z
1inch,1inch,1inch,260682264.0,120.0,1500000000.0,1500000000.0,817236767.452955,https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028,2021-10-27T08:24:54.808Z,2022-12-30T22:50:09.998Z
1world,1wo,1World,2075711.0,1553.0,37219452.0,,25056339.9,https://assets.coingecko.com/coins/images/3443/large/unnamed.png?1547038151,2019-10-25T04:18:58.491Z,2020-03-27T08:10:44.535Z
88mph,mph,88mph,1658817.0,1663.0,1578297.23680657,1888888.0,1263732.9242208644,https://assets.coingecko.com/coins/images/13137/large/yfU-_Tcj_400x400.png?1605581509,2021-02-12T21:31:39.114Z,2022-12-30T00:56:08.421Z
aag-ventures,aag,AAG,1543262.0,1698.0,1000000000.0,1000000000.0,419887179.073501,https://assets.coingecko.com/coins/images/21382/large/aag-token-icon.png?1661849633,2021-12-18T15:41:28.184Z,2023-01-02T03:26:21.772Z
aave,aave,Aave,758479335.0,51.0,16000000.0,16000000.0,14399014.115253922,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,2021-05-18T21:19:59.514Z,2020-11-05T09:20:11.928Z
aavegotchi,ghst,Aavegotchi,40894364.0,415.0,52747802.714256,52747802.714256,51157239.2140685,https://assets.coingecko.com/coins/images/12467/large/ghst_200.png?1600750321,2021-11-25T10:34:20.480Z,2020-12-01T23:14:48.358Z
acala,aca,Acala,25453384.0,558.0,1000000000.0,1000000000.0,710188889.0,https://assets.coingecko.com/coins/images/20634/large/upOKBONH_400x400.jpg?1647420536,2022-01-25T08:19:03.771Z,2023-05-26T01:10:07.152Z
access-protocol,acs,Access Protocol,84195770.0,259.0,100145608767.867,,30030083575.9275,https://assets.coingecko.com/coins/images/28747/large/dR4FovX4_400x400.jpg?1673860839,2023-02-16T01:23:46.316Z,2023-05-25T15:34:33.143Z
acet-token,act,Acet,2320066.0,1483.0,410339096.009868,1000000000.0,251362729.85848165,https://assets.coingecko.com/coins/images/18205/large/ACET-LOGO.png?1630975189,2021-11-03T04:25:04.593Z,2023-01-10T09:24:38.969Z
ac-milan-fan-token,acm,AC Milan Fan Token,9660902.0,904.0,19960000.0,,5262604.0,https://assets.coingecko.com/coins/images/13940/large/ACM-10.png?1613040443,2021-02-24T11:58:10.427Z,2023-05-25T01:34:47.696Z
across-protocol,acx,Across Protocol,7148006.0,1009.0,1000000000.0,1000000000.0,209514929.17242074,https://assets.coingecko.com/coins/images/28161/large/across-200x200.png?1668168201,2023-02-26T17:19:36.011Z,2022-12-04T22:59:39.954Z
acryptos,acs,ACryptoS,1925017.0,1592.0,1649278.98459779,1888888.0,1649278.98,https://assets.coingecko.com/coins/images/13276/large/acryptos_32.png?1681110873,2021-02-16T15:29:17.177Z,2023-01-08T23:12:21.897Z
adapad,adapad,ADAPad,2307396.0,1488.0,375448300.25489,1000000000.0,375448300.25489,https://assets.coingecko.com/coins/images/18273/large/EhSqPTtG_400x400.jpg?1631181091,2021-10-06T21:50:04.424Z,2022-12-31T11:26:25.009Z
