name,g_whitep,g_websites,id,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
OneLedger,['https://docs.oneledger.io/'],['https://oneledger.io'],one-ledger,olt,1866258.0,1628.0,1000000000.0,,434601854.6326148,https://assets.coingecko.com/coins/images/3422/large/One_Ledger.jpeg?1547038108,2021-11-07T21:05:03.740Z,2020-03-13T02:15:03.984Z
Redacted,['https://redacted-cartel.gitbook.io/redacted/'],"['https://app.redacted.finance', 'https://redactedcartel.xyz']",redacted,btrfly,31810589.0,489.0,199828.739832098,,199828.739832098,https://assets.coingecko.com/coins/images/26745/large/redacted_v2.jpg?1660011507,2023-02-19T19:03:46.168Z,2022-10-25T01:56:59.875Z
SpaceN,['https://www.spacen.xyz/doc/SpaceN%20whitepaper.pdf'],['https://www.spacen.xyz/'],spacen,sn,10183608.0,898.0,1000000000.0,1000000000.0,40010000.0,https://assets.coingecko.com/coins/images/27576/large/sn.png?1664694186,2022-11-01T11:39:24.725Z,2022-10-04T18:52:03.353Z
SSV Network,[],[],ssv-network,ssv,142828006.0,188.0,11076871.0,,7085672.647228521,https://assets.coingecko.com/coins/images/19155/large/ssv.png?1638181902,2023-02-27T23:15:10.196Z,2022-06-18T20:56:57.599Z
Cortex,"['https://www.cortexlabs.ai/Cortex_AI_on_Blockchain_EN.pdf', 'https://drive.google.com/file/d/1B01q8NZC3qq_8G6kjhXh6J55h_h32qG1/view', 'https://www.youtube.com/watch?v=YKVpFQ7ghDg']",['https://www.cortexlabs.ai/'],cortex,ctxc,31031446.0,500.0,299792458.0,,212470626.765625,https://assets.coingecko.com/coins/images/3861/large/2638.png?1523930406,2018-04-30T00:29:47.162Z,2020-03-13T02:29:44.476Z
Reality Metaverse,[],['https://nft.reality.co/home/portal/building/613'],reality-metaverse,rltm,1599291.0,1690.0,1000000000.0,1000000000.0,80858024.8401682,https://assets.coingecko.com/coins/images/29806/large/rltm.png?1681362836,2023-04-17T21:45:42.175Z,2023-05-23T01:31:34.847Z
Defigram,['https://defigram.net/Defigram_Whitepaper.pdf'],['https://defigram.net/'],defigram,dfg,24519849.0,580.0,1000000000.0,1000000000.0,10000000.0,https://assets.coingecko.com/coins/images/25162/large/19590.png?1650519619,2023-02-26T15:43:21.431Z,2022-05-14T02:49:03.325Z
Glove,[],[],glove,glo,1259459.0,1810.0,3402.92140289187,,3074.92140289187,https://assets.coingecko.com/coins/images/28831/large/glo.png?1675567261,2023-02-01T06:04:49.181Z,2023-04-19T14:45:42.862Z
NAOS Finance,['https://medium.com/naos-finance/introducing-naos-finance-75d3e3a1b0ab'],['https://naos.finance/'],naos-finance,naos,1085948.0,1890.0,218183292.946451,,83229040.946451,https://assets.coingecko.com/coins/images/15144/large/bafybeibkztkshitabrf7yqqkqtbjqestjknpgv7lsjfzdsa3ufspagqs2e.ipfs.infura-ipfs.io.png?1622176770,2021-05-13T04:25:01.278Z,2022-12-21T11:14:11.563Z
Quiztok,['http://www.quiztok.com/download/qtcon_wp_en.pdf'],['http://www.quiztok.com/en/index.php'],quiztok,qtcon,7084971.0,1018.0,12000000000.0,12000000000.0,6331548892.88962,https://assets.coingecko.com/coins/images/8208/large/QTCON.png?1587543372,2020-05-05T12:39:33.012Z,2023-01-02T01:35:26.111Z
